Ids,CHG,SMILES,True vals,AttentiveFP,GraphConv,GCN,GAT,DAG,Set
CHEMBL6215,0,c12c(sc(c1)CC)nc[nH]c2=O,-2.210039369,-2.2456663,-2.2960865,-2.0486386,-2.159429,-2.171755,train
CHEMBL266980,0,C1(=N)N(C)CCCC1,-3.4517802799,-3.593513,-3.7171924,-3.413697,-3.4829443,-3.4228532,train
CHEMBL6919,0,c1cc(ccc1S(=O)(=O)N)CO,-2.2330856108,-2.114146,-2.2832394,-2.216132,-2.2906773,-2.1037533,train
CHEMBL6753,0,s1c(nn(c1=N)C)S(=O)(=O)N,-1.6587847747,-1.3746349,-1.1623554,-1.5712823,-1.706291,-1.8620632,valid
CHEMBL265674,0,S(=O)(=O)(N)c1nnc(s1)N,-1.6477758353,-1.4497906,-1.69498,-1.6502366,-1.7139614,-1.6459665,test
CHEMBL269076,0,C1(=N)N[C@@H](C[C@H](C1)C)C,-3.5951489963,-3.6786528,-3.8464267,-3.527644,-3.6266966,-3.3808527,valid
CHEMBL6643,0,C1(=N)NCCC(C1)(C)C,-3.4891934699,-3.6872077,-3.6387556,-3.564162,-3.6743133,-3.3876395,train
CHEMBL7091,0,n1c(c2c(nc1N)CC[C@H](C2)C)N,-3.0075260537,-3.0982165,-3.1115615,-2.9354274,-2.9638212,-2.9215074,train
CHEMBL268456,0,n1c(c2c(nc1N)ccc(c2)C)N,-2.2217565724,-2.4657555,-2.356317,-2.2290168,-2.375507,-2.2653415,train
CHEMBL7416,0,[nH]1c(=O)c2c(nc1N)cccc2C,-2.160794379,-2.4048207,-2.393888,-2.2102606,-2.2742546,-2.1160219,valid
CHEMBL7246,0,n1c(c2c(nc1N)ccc(C#N)c2)N,-1.9948180118,-1.9414378,-1.8527,-1.8043753,-1.7693002,-1.8365526,train
CHEMBL6941,0,n1c(=S)c2c([nH]c1N)cccc2,-1.7415485365,-1.9504477,-1.9538381,-1.7987479,-1.6898048,-1.7959363,train
CHEMBL6954,0,C1(=S)N(CCCN1)C,-2.8354695322,-2.86092,-2.8992522,-2.8999965,-2.940987,-2.881708,train
CHEMBL7007,-1,C1(=C)[C@H]([C@H]1CCCC)CC(=O)[O-],-3.1288570758,-3.4621806,-3.6182578,-3.2435486,-3.2676585,-3.0843425,train
CHEMBL7745,0,c1(c(c(cc2c1CCO2)CCC)O)C,-3.2072325869,-3.278098,-3.4352195,-3.178595,-3.252844,-3.1323004,train
CHEMBL7507,0,c1(cc2c(cc1O)CCO2)C(C)(C)C,-3.0979875983,-3.197341,-3.2517796,-3.1563408,-3.1766226,-3.083476,train
CHEMBL7891,0,c1ccc2c(c1)CCN=C2N,-2.3947120034,-2.4761677,-2.4383109,-2.3723955,-2.5287678,-2.4100943,test
CHEMBL8292,0,C1(=N[C@@H](C#C)Cc2c1scc2)N,-2.2112462794,-2.0919394,-2.3305292,-2.164048,-2.2912557,-2.2114768,train
CHEMBL7841,0,c1(=O)[nH]cc(Oc2ccccc2)cn1,-1.5088146674,-1.5167928,-1.5917892,-1.6281353,-1.6922939,-1.5923095,train
CHEMBL8081,0,c1(c(=O)[nH]cnc1)Oc1ccccc1,-1.925813182,-1.932921,-2.0780613,-2.018108,-2.020305,-2.1531892,train
CHEMBL412905,0,c1(=O)[nH]n(c2c1cccc2)C,-2.0918356788,-2.1768014,-2.0600903,-2.0421839,-2.1100526,-2.083916,train
CHEMBL8472,0,C1C(=C)C(=O)O[C@@H]1CC,-1.7710116779,-1.7658337,-1.8000389,-1.88303,-1.7950225,-1.6693153,train
CHEMBL8293,0,[C@]12(OC(=O)C(=C)C1)[C@@H]1C[C@H](C2)CC1,-1.7935810875,-1.7672702,-1.7393082,-1.8649153,-1.7588866,-1.784015,train
CHEMBL274328,0,C12([C@@](C(=O)/C(=C/C)/C=C1C)(O)C)CC2,-1.6833237076,-1.8453649,-1.3857987,-1.7361832,-1.7208495,-1.647468,train
CHEMBL8650,0,[C@@]12(OC(=O)C(=C)C1)[C@H](CCC[C@@H]2C)C,-1.8175083134,-1.7996689,-1.7371829,-1.9220167,-1.7502179,-1.7805791,train
CHEMBL8547,0,N1(C#N)CC(C1)OCc1ccccc1,-2.8357471435,-2.8199215,-3.0122678,-2.9725027,-2.9302094,-2.9597788,train
CHEMBL9068,0,C(=C(Cc1ccccc1)CNC)=C,-3.0551392434,-2.9970324,-3.2484035,-2.9276364,-3.0981839,-2.9830022,train
CHEMBL9269,0,[N+](=O)(/C=C\N(C)C)[O-],-1.0249117175,-1.0562971,-1.0041977,-1.2322615,-0.9454383,-0.95808095,train
CHEMBL9907,0,c1c(o[nH]c1=O)C[C@H](C(=O)O)N,-2.3837075128,-2.5333576,-2.4156601,-2.2814405,-2.3531096,-2.2490914,train
CHEMBL9839,0,c12=NCCCn1c(cc1c2cccc1)C,-2.5336053959,-2.42838,-2.441768,-2.296557,-2.2571166,-2.3573542,train
CHEMBL10323,0,n1cc(O[C@H]2CCNC2)cc(C=C)c1,-2.1551611319,-2.1968372,-2.036903,-2.2409809,-2.1533577,-2.0642395,train
CHEMBL10625,0,o1c(=O)c2c(nc1NC)cccc2,-1.7826828389,-1.981383,-1.7068403,-1.8727468,-2.037359,-1.9441601,train
CHEMBL11031,0,C1(=C)C(=O)c2c(OC1(C)C)cccc2,-1.2286969624,-1.212661,-1.0042107,-1.2205024,-1.0511482,-1.3926831,train
CHEMBL275510,0,c1(cc(n(c1)C)C(=O)O)[N+](=O)[O-],-0.6602324399,-0.5163403,-0.48607713,-0.7306978,-0.5060246,-0.6737553,train
CHEMBL11468,0,c1(n(c(cc1)C(=O)OC)C)[N+](=O)[O-],-0.4540381964,-0.3770845,-0.3857413,-0.663418,-0.51235116,-0.6437006,test
CHEMBL273749,0,c1(c(cn(c1)C)C(=O)OC)[N+](=O)[O-],-0.5843427953,-0.71123946,-0.7093513,-0.84657836,-0.9367835,-0.798652,train
CHEMBL11470,0,n1(c(=O)n(ccc1=O)C)C,-2.1441487551,-2.2132373,-2.3241818,-2.0758796,-2.2440426,-2.3227437,train
CHEMBL274056,0,c1cc(c2c(c1O)C(=O)C=CC2=O)O,-0.0688904699,-0.14277968,0.036047906,-0.21394888,-0.3121959,-0.16733253,train
CHEMBL275768,0,c1(=O)n(ncc(=O)[nH]1)c1ccccc1,-1.2557973995,-1.2031068,-1.3421421,-1.2456402,-1.4608195,-1.2598662,train
CHEMBL11994,0,C(=C\C)(\NC(=O)CC(C)(C)C)/C(=O)O,-1.8998534778,-1.9564885,-1.7960093,-1.8439244,-1.8583295,-1.8253428,train
CHEMBL12338,0,C1(=O)N(CCN1C)C,-3.5488246988,-3.4968913,-3.3219292,-3.4362314,-3.356421,-3.346785,train
CHEMBL276719,0,C(=O)(c1ncccc1)NC,-1.9569209103,-1.87584,-1.8802685,-1.8866248,-1.8924813,-1.879832,train
CHEMBL11959,0,C(=O)(Nc1ccncc1)C,-2.6153560105,-2.6897836,-2.6967394,-2.7674127,-2.4913843,-2.761775,train
CHEMBL447523,0,N(C(=O)N)(N=O)C[C@H](O)C,-1.0062203375,-1.0568186,-0.67095256,-1.246399,-1.4003077,-1.1905078,train
CHEMBL276691,0,C1(=S)N(CCCN1CC)CC,-2.8203073995,-2.8480964,-2.678244,-2.8815823,-2.8777976,-2.9238167,train
CHEMBL267570,0,N1(C(=O)O[C@H](C1)C)N=O,-1.029349546,-0.90118,-0.6223966,-1.2381374,-0.9318617,-1.117087,train
CHEMBL11716,0,n1c(C2=CCCNC2)onc1CCF,-1.9724887199,-1.9856268,-1.9635217,-2.0156593,-2.0343351,-1.9476427,train
CHEMBL12274,0,n1(c(=O)cccc1)C(C)C,-2.2204059409,-2.2330751,-2.2701244,-2.2111628,-2.2518406,-2.3433285,train
CHEMBL12593,0,C1(=O)NCCCN1,-3.5639387777,-3.6462688,-3.5589392,-3.5336232,-3.5723574,-3.3521447,train
CHEMBL275073,0,C1(=S)N(C)CCCCN1C,-2.605647663,-2.8416536,-2.571562,-2.8133879,-2.8799016,-2.7963524,train
