codes,CHG,smiles,pot
CHEMBL101530,0,Clc1cncc(C2CN3CCC2C3)n1,-1.806292349652
CHEMBL104511,0,CCCCCCCCCCCCNC(=O)C(N)CCN,-3.1235295824543
CHEMBL105610,0,CS(=O)(=O)Nc1ccc(CN=C=S)cc1F,-2.24497451691089
CHEMBL106276,0,COc1ccc2ccc(O)c3c2c1CC(NC(C)=O)C3,-2.47732905312867
CHEMBL106402,0,O=C(O)c1ccc(-c2cccc(F)c2)cc1,-1.6776858079942
CHEMBL107266,0,NS(=O)(=O)c1ccc(SCCO)c(F)c1,-1.82222044226747
CHEMBL1077899,0,CCC(Cc1ccc(SC)cc1)NC(C)C,-3.06089241653596
CHEMBL1082728,0,CN(C)CCCCc1ccc(C2(O)COC2)cc1,-3.02457514037481
CHEMBL1084518,0,CCOC(=O)c1cc2c(N)c3c(nc2nc1C)CCC3,-1.68066414394854
CHEMBL1084610,0,C/C=C/C=C/C=C\CC/C=C/C(=O)NCC(C)(C)O,-2.51696969822207
CHEMBL1086826,0,CCCN1C(=O)[C@@H]2CN(Cc3ccccc3)C[C@@H]2C1=O,-3.48162631711907
CHEMBL1089852,0,N[C@@H](CCP(=O)(O)CC(=O)O)C(=O)O,-3.3231317031418
CHEMBL1090816,0,NC(c1ccccc1)C(O)(c1cccnc1)c1cccnc1,-2.56837008455293
CHEMBL1091551,0,CC(O)Cc1cn([C@@H]2O[C@H](CO)[C@H](O)[C@H](O)[C@H]2O)nn1,-2.45779180590232
CHEMBL1093798,0,N[C@H](C(=O)O)c1ccc(S(=O)(=O)O)cc1,-1.98140066497574
CHEMBL1097777,0,Oc1cccc(CCC2=NOC(CCc3ccccc3)C2)c1,-3.18514837033271
CHEMBL112179,0,CC(=O)NCCn1ccc(=O)c(O)c1C,-2.91200789905255
CHEMBL112327,0,Nc1ccc(-c2nc3ccccc3s2)c(Cl)c1,-2.0292576518884
CHEMBL112364,0,O=C(NCCCCCCS)c1ccccc1,-2.25703569968119
CHEMBL114128,0,CP(=O)(O)CC(CN)c1ccc(Cl)cc1,-3.75090090203843
CHEMBL114968,0,CN(C)CC/N=C1\c2ccccc2CN(C)c2ccccc21,-2.24621413256789
CHEMBL1163998,0,CCOC(=O)/C=C\n1nnc2ccccc21,-1.50516559528455
CHEMBL1165381,0,O=C1CCC(c2ccccc2)=NN1CN1CCCCC1,-2.07613410725485
CHEMBL116828,0,Cc1cc(Cc2cnc(N)nc2N)cc(Cl)c1N,-2.89450670586301
CHEMBL1171745,0,CCc1c(C)c(C#N)c2nc3ccccc3n2c1NCCN,-1.83172218263413
CHEMBL1172135,0,O=C1/C(=C/c2cccc(O)c2)Oc2cc(O)cc(O)c21,-1.03781186322628
CHEMBL1172526,0,CC(C)CC1CNCCN1c1ccc2[nH]ncc2c1,-2.50023549103846
CHEMBL1173308,0,C[C@@H]1NN[C@@H](CNC(=O)[C@@H](N)CCCCN)[C@H](O)[C@@H]1O,-3.08312803379371
CHEMBL1173622,0,c1ccc2c(c1)ccc1c3ccccc3[nH]c21,-2.50214152149363
CHEMBL1173631,0,Nc1ccc(O[C@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@@H]2O)cc1,-2.59138782656445
