id,smiles,pot
1.1.1,O=c1ccc(=O)cc1,0.078
1.1.2,Cc1cc(=O)ccc1=O,0.023
1.1.3,Cc1c(C)c(=O)ccc1=O,-0.074
1.1.4,Cc1cc(=O)c(C)cc1=O,-0.067
1.1.5,Cc1cc(=O)cc(C)c1=O,-0.08
1.1.6,Cc1cc(=O)c(C)c(C)c1=O,-0.165
1.1.7,Cc1c(C)c(=O)c(C)c(C)c1=O,-0.26
1.2.1,O=c2ccc1ccccc1c2=O,-0.089
1.2.2,O=c1ccc(=O)c2ccccc12,-0.14
1.2.3,O=c1ccc(=O)c2c(O)cccc12,-0.093
1.2.4,O=c1ccc(=O)c2c(O)ccc(O)c12,-0.11
1.2.5,O=c1cc(S(=O)(=O)[O-])c(=O)c2ccccc12,-0.06
1.2.6,Cc2cc(=O)c1ccccc1c2=O,-0.203
1.2.7,O=c1cc(CO)c(=O)c2ccccc12,-0.152
1.2.8,COCc2cc(=O)c1ccccc1c2=O,-0.129
1.2.9,CC(=O)OCc2cc(=O)c1ccccc1c2=O,-0.1
1.2.10,O=C(NCCCl)OCc2cc(=O)c1ccccc1c2=O,-0.122
1.2.11,O=c1ccc(=O)c2cc(CBr)ccc12,-0.092
1.2.12,O=c1ccc(=O)c2cc(CCl)ccc12,-0.094
1.2.13,CC(=O)OCc2ccc1c(=O)ccc(=O)c1c2,-0.094
1.2.14,C=C(NC)OCc2ccc1c(=O)ccc(=O)c1c2,-0.099
1.2.15,Cc2c(C)c(=O)c1ccccc1c2=O,-0.24
1.3.1,O=c2c1ccccc1c(=O)c3cc(S(=O)(=O)[O-])ccc23,-0.38
1.4.1,Cc3c1c(=O)ccc(=O)c1c(c2ccccc2)n3C,-0.44
1.4.3,Cc3c(C)c(=O)c2c(c1ccccc1)n(C)c(C)c2c3=O,-0.423
1.4.4,O=c3ccc(=O)c4c(c1ccccc1)n2CCCc2c34,-0.427
1.4.5,Cn2cc1c(=O)ccc(=O)c1c2c3ccccc3,-0.419
1.4.6,Cc2c1c(=O)ccc(=O)c1c3CCCn23,-0.438
1.4.7,Cc4c(C)c(=O)c3c(c1ccccc1)n2CCCc2c3c4=O,-0.435
