id,smiles,true
CHEMBL6215,c12c(sc(c1)CC)nc[nH]c2=O,-2.210039369
CHEMBL266980,C1(=N)N(C)CCCC1,-3.4517802799
CHEMBL6919,c1cc(ccc1S(=O)(=O)N)CO,-2.2330856108
CHEMBL6753,s1c(nn(c1=N)C)S(=O)(=O)N,-1.6587847747
CHEMBL265674,S(=O)(=O)(N)c1nnc(s1)N,-1.6477758353
CHEMBL269076,C1(=N)N[C@@H](C[C@H](C1)C)C,-3.5951489963
CHEMBL6643,C1(=N)NCCC(C1)(C)C,-3.4891934699
CHEMBL7091,n1c(c2c(nc1N)CC[C@H](C2)C)N,-3.0075260537
CHEMBL268456,n1c(c2c(nc1N)ccc(c2)C)N,-2.2217565724
CHEMBL7416,[nH]1c(=O)c2c(nc1N)cccc2C,-2.160794379
CHEMBL7246,n1c(c2c(nc1N)ccc(C#N)c2)N,-1.9948180118
CHEMBL6941,n1c(=S)c2c([nH]c1N)cccc2,-1.7415485365
CHEMBL6954,C1(=S)N(CCCN1)C,-2.8354695322
CHEMBL7007,C1(=C)[C@H]([C@H]1CCCC)CC(=O)[O-],-3.1288570758
CHEMBL7745,c1(c(c(cc2c1CCO2)CCC)O)C,-3.2072325869
CHEMBL7507,c1(cc2c(cc1O)CCO2)C(C)(C)C,-3.0979875983
CHEMBL7891,c1ccc2c(c1)CCN=C2N,-2.3947120034
CHEMBL8292,C1(=N[C@@H](C#C)Cc2c1scc2)N,-2.2112462794
CHEMBL7841,c1(=O)[nH]cc(Oc2ccccc2)cn1,-1.5088146674
CHEMBL8081,c1(c(=O)[nH]cnc1)Oc1ccccc1,-1.925813182
CHEMBL412905,c1(=O)[nH]n(c2c1cccc2)C,-2.0918356788
CHEMBL8472,C1C(=C)C(=O)O[C@@H]1CC,-1.7710116779
CHEMBL8293,[C@]12(OC(=O)C(=C)C1)[C@@H]1C[C@H](C2)CC1,-1.7935810875
CHEMBL274328,C12([C@@](C(=O)/C(=C/C)/C=C1C)(O)C)CC2,-1.6833237076
CHEMBL8650,[C@@]12(OC(=O)C(=C)C1)[C@H](CCC[C@@H]2C)C,-1.8175083134
CHEMBL8547,N1(C#N)CC(C1)OCc1ccccc1,-2.8357471435
CHEMBL9068,C(=C(Cc1ccccc1)CNC)=C,-3.0551392434
CHEMBL9269,[N+](=O)(/C=C\N(C)C)[O-],-1.0249117175
CHEMBL9907,c1c(o[nH]c1=O)C[C@H](C(=O)O)N,-2.3837075128
CHEMBL9839,c12=NCCCn1c(cc1c2cccc1)C,-2.5336053959
CHEMBL10323,n1cc(O[C@H]2CCNC2)cc(C=C)c1,-2.1551611319
CHEMBL10625,o1c(=O)c2c(nc1NC)cccc2,-1.7826828389
CHEMBL11031,C1(=C)C(=O)c2c(OC1(C)C)cccc2,-1.2286969624
CHEMBL275510,c1(cc(n(c1)C)C(=O)O)[N+](=O)[O-],-0.6602324399
CHEMBL11468,c1(n(c(cc1)C(=O)OC)C)[N+](=O)[O-],-0.4540381964
CHEMBL273749,c1(c(cn(c1)C)C(=O)OC)[N+](=O)[O-],-0.5843427953
CHEMBL11470,n1(c(=O)n(ccc1=O)C)C,-2.1441487551
CHEMBL274056,c1cc(c2c(c1O)C(=O)C=CC2=O)O,-0.0688904699
CHEMBL275768,c1(=O)n(ncc(=O)[nH]1)c1ccccc1,-1.2557973995
CHEMBL11994,C(=C\C)(\NC(=O)CC(C)(C)C)/C(=O)O,-1.8998534778
CHEMBL12338,C1(=O)N(CCN1C)C,-3.5488246988
CHEMBL276719,C(=O)(c1ncccc1)NC,-1.9569209103
CHEMBL11959,C(=O)(Nc1ccncc1)C,-2.6153560105
CHEMBL447523,N(C(=O)N)(N=O)C[C@H](O)C,-1.0062203375
CHEMBL276691,C1(=S)N(CCCN1CC)CC,-2.8203073995
CHEMBL267570,N1(C(=O)O[C@H](C1)C)N=O,-1.029349546
CHEMBL11716,n1c(C2=CCCNC2)onc1CCF,-1.9724887199
CHEMBL12274,n1(c(=O)cccc1)C(C)C,-2.2204059409
CHEMBL12593,C1(=O)NCCCN1,-3.5639387777
CHEMBL275073,C1(=S)N(C)CCCCN1C,-2.605647663
CHEMBL268966,N1([C@H](CN=C1)CCN)C,-3.6900789371
CHEMBL12626,c1(c2c(oc(=O)c1)ccc(c2)O)C,-1.5839941126
CHEMBL12746,N(C(=O)N)(N=O)CCCl,-1.0108287583
CHEMBL12267,N(C(=O)NCCF)(N=O)CCCl,-1.1905970023
CHEMBL12849,c12c(cc(s2)N)[nH]c(=O)[nH]c1=O,-2.2095179872
CHEMBL276606,c12c([nH]c(=O)[nH]c1=O)c(cs2)N,-1.8746282706
CHEMBL13378,c1(c(=O)[nH]oc1C)C[C@@H](C(=O)O)N,-2.7575090667
CHEMBL13246,N#C[C@H](NC(=O)C)Cc1ccccc1,-3.4184119858
CHEMBL13086,s1ccc2c(c[nH]c12)CCN(C)C,-3.3813337164
CHEMBL13202,n12c(nc(c1)C#N)COc1c2cccc1,-2.4287447988
CHEMBL13620,C1(Oc2c(O1)cccc2)C1=NCCN1,-3.0791787978
CHEMBL266386,C1(=Cc2c(CC1)cccc2)C1=NCCN1,-1.9968201919
CHEMBL13845,O1[C@@H](C(=N)N)OCc2c1cccc2,-3.1028791984
CHEMBL14174,C1(=NCCN1)/C(=C/c1ccccc1)/C,-2.0671714366
CHEMBL14422,c1(C2=NCCN2)c(ccs1)C,-2.3429756078
CHEMBL14235,C1(=NCCN1)C1CCCCCC1,-3.5528701055
CHEMBL276273,C1(NCCN1)c1ccccc1,-2.886508356
CHEMBL14493,c12c(=O)n(cnc1[nH]cn2)CCN,-2.3975830303
CHEMBL442329,c12c(=O)[nH]nc(c1cccc2N)O,-2.019420084
CHEMBL15221,c12c([n-]c3c(c1)cc(cc3)C)n[nH+]c2N,-1.5930861043
CHEMBL277559,c1([C@@H]2N(C[C@H](C2)CF)C)onc(c1)C,-2.9029367652
CHEMBL15189,C1(=O)O[C@](CC1=C)(CO)C,-1.7797571737
CHEMBL14839,c1([C@H]2N(C[C@@H](C2)C)C)onc(c1)C,-2.9965083127
CHEMBL15698,n1cncnc1,-2.0282456425
CHEMBL15719,n1ncccc1,-1.9933251148
CHEMBL15562,c1cncnc1,-2.2369926211
CHEMBL15797,n1ccncc1,-1.9253780392
CHEMBL15739,n1[nH]c2c(c1)cc(cc2)OC,-2.5680792565
CHEMBL16164,c12nc(cnc1cncn2)C,-1.0482908148
CHEMBL277497,o1c2c(c3c1cccc3)cccc2,-2.4142073201
CHEMBL276311,C1(=O)[C@@H](CC[C@H](C1)C)C(C)C,-2.585192967
CHEMBL15799,CC1=CC[C@H](C(=C)C)CC1,-3.6960376655
CHEMBL16347,c1(c(c(c(c(c1C)C)C)C)C)C,-3.6740119808
CHEMBL277500,c1ccccc1,-3.0526730494
CHEMBL16396,C1=CCCCC1,-3.5138864499
CHEMBL16028,C1=C(C(=CC(=O)C1=O)C)C,0.0377487216
CHEMBL16435,C(=O)(c1ccccc1)OC,-2.0509039255
CHEMBL276542,c1(=O)occ(cc1)Cc1ccccc1,-1.5924413888
